"Segment","SegmentURL", "Product", "ProductURL"
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* Additive RA-1,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+Additive+RA-1
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst A-1,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+A-1
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst A-107,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+A-107
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst A-300,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+A-300
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst A-33,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+A-33
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst B-26,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+B-26
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst BDMA,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+BDMA
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst C-174,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+C-174
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst C-41,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+C-41+
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst C-5,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+C-5
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst C-8,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+C-8
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst DMDEE,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+DMDEE
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst DMEA,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+DMEA
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst DMEE,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0catalyst+DMEE
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst K-ZERO 3000,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+K-ZERO+3000
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst PM-40,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+PM-40
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst Potassium Acetate,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst%c2%a0Potassium+Acetate
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst Potassium Octoate,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+Potassium+Octoate
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* catalyst Potassium Octoate LV,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+catalyst+Potassium+Octoate+LV
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* color stabilizer CS-22,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0color+stabilizer+CS-22
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5111,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5111
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5345,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5345
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5348,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5348
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5351,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5351
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5352,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5352
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5356,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5356
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5388,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5388
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5420,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5420
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5440,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+silicone+L-5440
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* silicone L-5466,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+Silicone+L-5466
